"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Enterococcus sp. FDAARGOS_553-2420313"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.73943567980051	-0.0902105721193149	0.250060982593169	2.14231611182439e-06	0.000111400437814868	4.28462763413046e-06	0.000128538829023914	NA	"abundance"	60	58
"Enterococcus sp. M190262-2582830"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.76296603375302	-0.0902105721193149	0.248021688682301	1.5430639432778e-06	0.000111400437814868	3.08612550550926e-06	0.000128538829023914	NA	"abundance"	60	58
"Anaerostipes caccae-105841"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.83365827644161	-0.0902105721193149	0.24412623479322	4.15510517380032e-06	0.000144043646025078	8.31019308270163e-06	0.000166203861654032	NA	"abundance"	60	58
"Enterococcus faecium-1352"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.49301571529345	-0.0902105721193149	0.278242031568735	7.98965132380039e-05	0.0020773093441881	0.00015978664302318	0.0023967996453477	NA	"abundance"	60	42
"Bifidobacterium breve-1685"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.15446564414212	-0.0902105721193149	0.240389369162354	0.0026072014640798	0.0348892415014617	0.0052076054286853	0.0341467921420361	NA	"abundance"	60	48
"Enterococcus avium-33945"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.885204361097814	-0.0902105721193149	0.213241696696323	0.00301926128378034	0.0348892415014617	0.00301926128378034	0.0341467921420361	NA	"abundance"	60	58
"Escherichia coli-562"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.586786701523107	-0.369674457318205	0.242713072574871	0.00229897934928666	0.0348892415014617	0.00459267339252488	0.0341467921420361	NA	"abundance"	60	59
"Bifidobacterium catenulatum-1686"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.41028818677499	0	0.780312168564795	0.0020091470829535	0.0348892415014617	0.00401425749390606	0.0341467921420361	NA	"prevalence"	60	20
"Enterococcus gallinarum-1353"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.94591690319871	0	0.652224001374665	0.00284962619656642	0.0348892415014617	0.00569113202367268	0.0341467921420361	NA	"prevalence"	60	34
"Bifidobacterium breve-1685"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-1.48377138497046	-0.369674457318205	0.32164329350319	0.00401039262512325	0.0417080833012818	0.00401039262512325	0.0341467921420361	NA	"abundance"	60	48
"Enterococcus sp. M190262-2582830"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.720311569603322	-0.369674457318205	0.325634251665695	0.00457084641352636	0.043215275182431	0.00912080019011666	0.0497498192188182	NA	"abundance"	60	58
"Enterococcus sp. FDAARGOS_553-2420313"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.699495581913273	-0.369674457318205	0.328310968899965	0.00589228951610813	0.0510665091396038	0.0117498599564746	0.0587492997823732	NA	"abundance"	60	58
"Escherichia coli-562"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.718387520107616	-0.0902105721193149	0.18218948095989	0.00791842463150342	0.0588225829768826	0.015774147814362	0.0676034906329802	NA	"abundance"	60	59
"Enterococcus faecium-1352"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.11948093980375	0	0.792354591656676	0.00747482673939001	0.0588225829768826	0.00015978664302318	0.0023967996453477	NA	"prevalence"	60	42
"Enterococcus gallinarum-1353"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.4848807850111	0	0.944274758061028	0.00850031025156206	0.0589354844108303	0.0169283652287513	0.0677134609150053	NA	"prevalence"	60	34
"Enterococcus gallinarum-1353"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.14762882251193	-0.0902105721193149	0.389631571748119	0.0111616288319223	0.0725505874074947	0.00569113202367268	0.0341467921420361	NA	"abundance"	60	34
"Eubacterium limosum-1736"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.2245020968555	-0.369674457318205	0.156701939724842	0.0129243290358252	0.0790664835132838	0.0129243290358252	0.0596507493961164	NA	"abundance"	60	60
"Anaerostipes rhamnosivorans-1229621"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.53393035992576	0	0.654523755626376	0.0190995423511108	0.110352911361973	0.0378342921841996	0.126114307280665	NA	"prevalence"	60	20
"Enterococcus avium-33945"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.41299759398857	-0.369674457318205	0.279862761675546	0.0211595373565233	0.115820625530443	0.0418713486919045	0.132225311658646	NA	"abundance"	60	58
